Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2017-10-04;2,8977;3,0757;2,8943;2,9414;;
2017-10-02;3,0013;3,1617;2,8895;2,9181;;
2017-09-29;3,0043;3,133;2,9914;2,9923;;
2017-09-28;3,0499;3,192;2,994;3,0347;;
2017-09-27;3,0183;3,1528;3,001;3,0559;;
2017-09-26;2,9931;3,1247;2,9646;2,9887;;
2017-09-25;3,0119;3,146;2,9679;2,9731;;
2017-09-22;2,9712;3,1141;2,9343;2,9403;;
2017-09-21;3,0799;3,2173;2,9305;2,9522;;
2017-09-20;3,1413;3,2628;3,1123;3,1247;;
2017-09-19;3,1361;3,2801;3,1338;3,1389;;
2017-09-18;3,0517;3,2548;3,0418;3,1516;;
2017-09-15;3,041;3,2045;3,0021;3,0206;;
2017-09-14;3,051;3,1865;3,0406;3,0486;;
2017-09-13;3,0023;3,1813;2,9851;3,0465;;
2017-09-12;2,9471;3,1692;2,9374;2,9935;;
2017-09-11;2,9096;3,0748;2,8914;2,945;;
2017-09-08;2,9553;3,1377;2,8726;2,8896;;
2017-09-07;2,9981;3,1403;2,9623;2,9623;;
2017-09-06;2,9581;3,1066;2,9454;2,9971;;
2017-09-05;3,0071;3,1671;2,9536;2,9602;;
2017-09-04;3,0231;3,1886;2,9917;3,0001;;
2017-09-01;3,0315;3,1865;3,0256;3,0471;;
2017-08-31;2,9216;3,1059;2,9142;3,012;;
2017-08-30;2,9531;3,1143;2,9233;2,9264;;
2017-08-29;2,9641;3,0723;2,9564;2,9686;;
2017-08-28;2,9073;3,0771;2,8977;2,9285;;
2017-08-25;2,9617;3,0849;2,9079;2,9186;;
2017-08-24;2,9512;3,114;2,8698;3,0172;;
2017-08-23;2,927;3,0772;2,927;2,929;;
2017-08-22;2,9761;3,1087;2,9184;2,9271;;
2017-08-21;2,8886;2,9687;2,8589;2,9326;;
2017-08-18;2,9118;2,9169;2,8754;2,8829;;
2017-08-17;2,8784;2,9218;2,8605;2,9028;;
2017-08-16;2,8929;2,9216;2,8678;2,8705;;
2017-08-15;2,9622;2,9622;2,9177;2,9239;;
2017-08-14;2,9896;3,0027;2,9095;2,9391;;
2017-08-11;2,9748;2,9841;2,9531;2,9681;;
2017-08-10;2,8629;2,9819;2,8537;2,9691;;
2017-08-09;2,7971;2,8879;2,7884;2,8879;;
2017-08-08;2,7975;2,8195;2,7697;2,7988;;
2017-08-07;2,7833;2,7973;2,7558;2,7852;;
2017-08-04;2,7597;2,7811;2,7394;2,7682;;
2017-08-03;2,8095;2,8303;2,7806;2,7839;;
2017-08-02;2,7977;2,8211;2,7703;2,8018;;
2017-08-01;2,81;2,8217;2,7485;2,8092;;
2017-07-31;2,8693;2,8749;2,7676;2,7936;;
2017-07-28;2,9553;2,9667;2,9227;2,9349;;
2017-07-27;2,9157;2,9772;2,8829;2,9447;;
2017-07-26;2,9301;2,9425;2,8689;2,8969;;
2017-07-25;2,8918;2,9208;2,8715;2,9163;;
2017-07-24;2,9123;2,934;2,8664;2,8774;;
2017-07-21;3,0088;3,0216;2,9304;2,9325;;
2017-07-20;3,0547;3,085;3,0031;3,0079;;
2017-07-19;3,053;3,0791;3,0413;3,052;;
2017-07-18;3,013;3,0764;3,0036;3,0628;;
2017-07-17;2,9776;3,0307;2,9646;3,003;;
2017-07-14;2,9518;2,9813;2,9232;2,959;;
2017-07-13;2,9957;3,0015;2,9303;2,9439;;
2017-07-12;3,0168;3,0248;2,9502;2,9799;;
2017-07-11;2,9174;3,0401;2,9097;3,0273;;
2017-07-10;2,8776;2,9281;2,8541;2,9086;;
2017-07-07;2,8904;2,9296;2,8345;2,8425;;
2017-07-06;2,8532;2,8796;2,8458;2,8705;;
2017-07-05;2,9758;3,005;2,8155;2,8305;;
2017-07-04;2,9359;2,9788;2,934;2,973;;
2017-07-03;2,9447;3,0351;2,9247;2,9342;;
2017-06-30;3,0196;3,0282;2,962;3,0282;;
2017-06-29;3,079;3,1005;3,0215;3,0323;;
